date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,nvda_return,source_url
2020-04,Apr 2020,2020-03-31,6.564263343811035,2020-04-30,7.278463363647461,0.10880124431780946,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-05,May 2020,2020-04-30,7.278463363647461,2020-05-29,8.840836524963379,0.21465700701596502,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-06,Jun 2020,2020-05-29,8.840836524963379,2020-06-30,9.464973449707031,0.07059704395407729,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-07,Jul 2020,2020-06-30,9.464973449707031,2020-07-31,10.578118324279785,0.11760676144392246,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-08,Aug 2020,2020-07-31,10.578118324279785,2020-08-31,13.328347206115723,0.25999225925875513,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-09,Sept 2020,2020-08-31,13.328347206115723,2020-09-30,13.487841606140137,0.011966555009253588,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-10,Oct 2020,2020-09-30,13.487841606140137,2020-10-30,12.49448299407959,-0.0736484488080239,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-11,Nov 2020,2020-10-30,12.49448299407959,2020-11-30,13.359249114990234,0.06921183704202938,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-12,Dec 2020,2020-11-30,13.359249114990234,2020-12-31,13.01768684387207,-0.025567475250903304,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-01,Jan 2021,2020-12-31,13.01768684387207,2021-01-29,12.952621459960938,-0.00499822930843985,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
