date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,sp500tr_return,source_url
2018-01,Jan 2018,2017-12-29,5212.759765625,2018-01-31,5511.2099609375,0.05725377894461947,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-02,Feb 2018,2018-01-31,5511.2099609375,2018-02-28,5308.08984375,-0.03685581181395381,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-03,Mar 2018,2018-02-28,5308.08984375,2018-03-29,5173.18994140625,-0.025414020168213147,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-04,Apr 2018,2018-03-29,5173.18994140625,2018-04-30,5193.0400390625,0.003837109768069835,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-05,May 2018,2018-04-30,5193.0400390625,2018-05-31,5318.10009765625,0.024082244244804096,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-06,Jun 2018,2018-05-31,5318.10009765625,2018-06-29,5350.830078125,0.006154449872648016,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-07,Jul 2018,2018-06-29,5350.830078125,2018-07-31,5549.9599609375,0.03721476479445185,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-08,Aug 2018,2018-07-31,5549.9599609375,2018-08-31,5730.7998046875,0.032583990699538656,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-09,Sept 2018,2018-08-31,5730.7998046875,2018-09-28,5763.419921875,0.0056920706182788106,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-10,Oct 2018,2018-09-28,5763.419921875,2018-10-31,5369.490234375,-0.06834998886769361,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-11,Nov 2018,2018-10-31,5369.490234375,2018-11-30,5478.91015625,0.020378083784286183,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2018-12,Dec 2018,2018-11-30,5478.91015625,2018-12-31,4984.22021484375,-0.0902898436547529,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-01,Jan 2019,2018-12-31,4984.22021484375,2019-01-31,5383.6298828125,0.08013483569189983,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-02,Feb 2019,2019-01-31,5383.6298828125,2019-02-28,5556.490234375,0.03210851327546971,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-03,Mar 2019,2019-02-28,5556.490234375,2019-03-29,5664.4599609375,0.019431281619924246,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-04,Apr 2019,2019-03-29,5664.4599609375,2019-04-30,5893.81005859375,0.04048931393952193,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-05,May 2019,2019-04-30,5893.81005859375,2019-05-31,5519.27001953125,-0.0635480335027736,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-06,Jun 2019,2019-05-31,5519.27001953125,2019-06-28,5908.25,0.07047670780596915,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-07,Jul 2019,2019-06-28,5908.25,2019-07-31,5993.169921875,0.014373109105911164,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-08,Aug 2019,2019-07-31,5993.169921875,2019-08-30,5898.22998046875,-0.015841356518145777,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-09,Sept 2019,2019-08-30,5898.22998046875,2019-09-30,6008.58984375,0.018710674837483898,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-10,Oct 2019,2019-09-30,6008.58984375,2019-10-31,6138.72998046875,0.02165901486088595,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
