date,Fund_X_Return_Pct,R_F,Fund_X_Excess_Return_Pct,R_MKT,R_ME,R_IA,R_ROE,R_EG
2019-04,2.3300000000,0.2125000000,2.1175000000,3.9607000000,-0.2476000000,-2.4180000000,1.8306000000,1.0912000000
2019-05,1.7700000000,0.1983000000,1.5717000000,-6.9254000000,-1.9156000000,1.5264000000,0.6444000000,0.1716000000
2019-06,2.6000000000,0.1853000000,2.4147000000,6.9269000000,-0.4309000000,-0.2660000000,-0.1359000000,-0.2662000000
2019-07,0.7300000000,0.1783000000,0.5517000000,1.2213000000,-1.6326000000,0.1743000000,0.4843000000,1.2341000000
2019-08,2.3900000000,0.1908000000,2.1992000000,-2.6018000000,-4.2154000000,-1.0234000000,1.8878000000,1.4913000000
2019-09,3.4700000000,0.1787000000,3.2913000000,1.4293000000,1.4289000000,2.9672000000,1.7225000000,-1.8185000000
2019-10,1.4000000000,0.1531000000,1.2469000000,2.0629000000,0.8208000000,-0.6402000000,0.8429000000,1.9502000000
2019-11,1.1000000000,0.1197000000,0.9803000000,3.8677000000,0.0019000000,-1.0324000000,-1.3056000000,-0.6328000000
2019-12,3.0800000000,0.1431000000,2.9369000000,2.7631000000,1.2791000000,1.7690000000,-1.2520000000,-0.6206000000
2020-01,2.0000000000,0.1164000000,1.8836000000,-0.0918000000,-4.7599000000,-2.4186000000,-0.4340000000,2.4445000000
2020-02,2.7100000000,0.1208000000,2.5892000000,-8.1285000000,-1.3419000000,-2.1767000000,-0.5082000000,1.4314000000
2020-03,21.4600000000,0.1268000000,21.3332000000,-13.3781000000,-8.4139000000,2.1173000000,5.8288000000,11.8761000000
2020-04,5.8600000000,0.0003000000,5.8597000000,13.5918000000,3.2906000000,-0.1783000000,-2.1253000000,-2.9684000000
2020-05,4.0000000000,0.0059000000,3.9941000000,5.5830000000,2.4993000000,-3.6764000000,-0.5798000000,0.6878000000
2020-06,6.2500000000,0.0111000000,6.2389000000,2.4608000000,2.2963000000,0.2683000000,1.1718000000,1.6921000000
2020-07,13.9000000000,0.0096000000,13.8904000000,5.7699000000,-1.2856000000,-1.3374000000,3.3380000000,1.4232000000
2020-08,3.0400000000,0.0079000000,3.0321000000,7.6260000000,-2.0521000000,-3.0065000000,-0.7135000000,-1.6874000000
2020-09,4.0700000000,0.0076000000,4.0624000000,-3.6283000000,0.6347000000,-2.5151000000,1.1429000000,0.8538000000
2020-10,1.9300000000,0.0073000000,1.9227000000,-2.1002000000,2.5852000000,-0.2991000000,-2.6977000000,0.0617000000
2020-11,5.6200000000,0.0066000000,5.6134000000,12.4684000000,4.1686000000,3.1050000000,-14.3550000000,-9.7563000000
2020-12,3.7000000000,0.0060000000,3.6940000000,4.6321000000,4.2033000000,-2.7493000000,-4.0210000000,-1.1251000000
2021-01,9.4500000000,0.0046000000,9.4454000000,-0.0212000000,8.2178000000,6.4689000000,-1.9859000000,-7.1944000000
2021-02,11.3800000000,0.0045000000,11.3755000000,2.7769000000,4.3453000000,-0.6264000000,-6.1783000000,-5.8242000000
2021-03,2.4100000000,0.0027000000,2.4073000000,3.0849000000,-0.6556000000,4.7173000000,4.4184000000,-1.5273000000
2021-04,3.9600000000,0.0014000000,3.9586000000,4.9228000000,-3.0496000000,-3.3369000000,2.2146000000,2.2226000000
2021-05,2.2700000000,0.0005000000,2.2695000000,0.2877000000,1.4392000000,4.5591000000,2.3724000000,-1.5753000000
2021-06,2.6600000000,0.0004000000,2.6596000000,2.7505000000,-0.1316000000,-2.5953000000,-1.3245000000,3.5564000000
2021-07,2.6600000000,0.0031000000,2.6569000000,1.2652000000,-3.0530000000,-1.5062000000,7.4792000000,5.2490000000
2021-08,1.1500000000,0.0049000000,1.1451000000,2.9065000000,-0.7272000000,-2.1892000000,1.2550000000,2.2517000000
2021-09,1.5800000000,0.0033000000,1.5767000000,-4.3671000000,0.7380000000,3.3074000000,-1.7797000000,-4.7938000000
2021-10,0.9000000000,0.0037000000,0.8963000000,6.6487000000,-2.0151000000,-2.2654000000,3.2909000000,3.5348000000
2021-11,2.1000000000,0.0044000000,2.0956000000,-1.5459000000,-0.6292000000,-0.4569000000,8.3789000000,4.7850000000
2021-12,2.9500000000,0.0067000000,2.9433000000,3.1005000000,-0.5416000000,5.2366000000,3.8230000000,1.1799000000
2022-01,1.5800000000,0.0044000000,1.5756000000,-6.2481000000,-3.7454000000,10.4429000000,0.7748000000,-3.4199000000
2022-02,1.5200000000,0.0028000000,1.5172000000,-2.2805000000,3.2417000000,3.9305000000,-2.2584000000,-4.2678000000
2022-03,1.9300000000,0.0060000000,1.9240000000,3.0566000000,-1.8113000000,3.3117000000,-0.0987000000,-1.4433000000
2022-04,0.1100000000,0.0037000000,0.1063000000,-9.4436000000,0.8986000000,6.0424000000,4.6941000000,-0.0118000000
2022-05,1.2700000000,0.0307000000,1.2393000000,-0.3407000000,0.8230000000,5.7417000000,1.0855000000,1.3569000000
2022-06,-0.3200000000,0.0567000000,-0.3767000000,-8.4238000000,0.7304000000,-5.6444000000,1.0413000000,1.3748000000
2022-07,0.8300000000,0.0812000000,0.7488000000,9.5561000000,0.2718000000,-5.5565000000,-2.0450000000,2.3606000000
2022-08,0.2500000000,0.1901000000,0.0599000000,-3.7707000000,1.3960000000,2.8829000000,-2.8215000000,-3.3590000000
2022-09,-0.2100000000,0.1929000000,-0.4029000000,-9.3464000000,-1.7137000000,-0.2636000000,1.0989000000,1.7873000000
2022-10,0.7000000000,0.2327000000,0.4673000000,7.8335000000,4.6727000000,7.4759000000,5.4532000000,-0.9368000000
2022-11,0.7400000000,0.2856000000,0.4544000000,4.6103000000,-2.3298000000,2.1129000000,2.4681000000,1.3507000000
2022-12,0.7100000000,0.3379000000,0.3721000000,-6.4062000000,0.3374000000,3.9261000000,-0.4648000000,-0.4815000000
2023-01,1.3100000000,0.3506000000,0.9594000000,6.6413000000,4.7212000000,-5.4106000000,-4.2423000000,-2.1437000000
2023-02,0.3400000000,0.3450000000,-0.0050000000,-2.5855000000,-0.1341000000,-1.3265000000,2.9398000000,2.0042000000
2023-03,1.7300000000,0.3638000000,1.3662000000,2.4564000000,-7.7416000000,-3.2627000000,1.1173000000,6.2793000000
2023-04,0.7000000000,0.3640000000,0.3360000000,0.5939000000,-1.9389000000,3.1023000000,-1.0657000000,-0.7091000000
2023-05,2.1300000000,0.3662000000,1.7638000000,0.3413000000,-1.7843000000,-6.9683000000,-1.2287000000,1.6535000000
2023-06,0.6200000000,0.4078000000,0.2122000000,6.4559000000,2.7420000000,-1.5359000000,4.5498000000,0.4194000000
2023-07,0.6600000000,0.4391000000,0.2209000000,3.2234000000,1.6394000000,-0.1962000000,-0.5115000000,-0.7733000000
2023-08,0.4600000000,0.4537000000,0.0063000000,-2.3874000000,-2.4532000000,-1.2340000000,5.0483000000,5.1348000000
2023-09,0.9200000000,0.4267000000,0.4933000000,-5.2386000000,-0.1177000000,-0.4879000000,3.3773000000,2.7151000000
2023-10,0.2900000000,0.4715000000,-0.1815000000,-3.1784000000,-2.6286000000,-0.4588000000,5.6473000000,4.6182000000
2023-11,1.9600000000,0.4424000000,1.5176000000,8.8639000000,-0.7638000000,-2.3272000000,-3.6413000000,-2.6912000000
2023-12,0.7400000000,0.4266000000,0.3134000000,4.8696000000,5.2012000000,0.2133000000,-4.1255000000,-4.0302000000
2024-01,3.2500000000,0.4729000000,2.7771000000,0.7014000000,-4.8245000000,0.4218000000,1.9675000000,3.7863000000
2024-02,1.9700000000,0.4224000000,1.5476000000,5.0654000000,1.2192000000,-1.9735000000,0.0890000000,-1.9019000000
2024-03,1.3400000000,0.4157000000,0.9243000000,2.8403000000,-0.7905000000,0.4476000000,1.1306000000,-2.0875000000
2024-04,1.8700000000,0.4864000000,1.3836000000,-4.6870000000,-2.9976000000,-0.9161000000,1.7953000000,1.3054000000
2024-05,-2.2000000000,0.4415000000,-2.6415000000,4.3262000000,2.9438000000,-1.0645000000,4.5060000000,2.4258000000
2024-06,1.6500000000,0.4125000000,1.2375000000,2.7699000000,-4.8267000000,-0.5782000000,2.3517000000,4.9059000000
2024-07,0.6700000000,0.4711000000,0.1989000000,1.2169000000,7.5712000000,1.2441000000,-0.1571000000,-3.1322000000
2024-08,0.6400000000,0.4419000000,0.1981000000,1.6518000000,-4.0817000000,0.4687000000,1.8369000000,0.8116000000
2024-09,2.6900000000,0.4619000000,2.2281000000,1.6806000000,-1.1967000000,-0.0010000000,0.7408000000,-3.2810000000
2024-10,7.6200000000,0.3907000000,7.2293000000,-0.9701000000,-1.1261000000,-1.1676000000,-0.2314000000,-0.8335000000
2024-11,4.2400000000,0.3955000000,3.8445000000,6.5002000000,4.3985000000,-4.9491000000,-1.5370000000,-2.1420000000
2024-12,1.0200000000,0.3663000000,0.6537000000,-3.1637000000,-5.1564000000,-0.3684000000,-2.1442000000,4.9624000000
