date,month,return_decimal,return_percent
2022-12,Dec 2022,-0.05761465550458056,-5.761465550458055
2023-01,Jan 2023,0.06283426331239328,6.283426331239328
2023-02,Feb 2023,-0.024399793943813197,-2.4399793943813197
2023-03,Mar 2023,0.03671431935844782,3.6714319358447822
2023-04,Apr 2023,0.015608883999174816,1.5608883999174816
2023-05,May 2023,0.004346889243029617,0.4346889243029617
2023-06,Jun 2023,0.06607551948450796,6.607551948450796
2023-07,Jul 2023,0.03212449926459038,3.212449926459038
2023-08,Aug 2023,-0.015921101962751427,-1.5921101962751427
2023-09,Sept 2023,-0.04767813851995306,-4.767813851995307
2023-10,Oct 2023,-0.021026941293289414,-2.1026941293289414
2023-11,Nov 2023,0.09132586049075653,9.132586049075652
2023-12,Dec 2023,0.045430677149214116,4.543067714921412
2024-01,Jan 2024,0.01680409179611586,1.680409179611586
2024-02,Feb 2024,0.05339588463681255,5.339588463681255
2024-03,Mar 2024,0.032174685531384695,3.2174685531384695
2024-04,Apr 2024,-0.040845058737709494,-4.084505873770949
2024-05,May 2024,0.04958517990102096,4.958517990102096
2024-06,Jun 2024,0.035881770581602135,3.5881770581602135
2024-07,Jul 2024,0.012172471865234513,1.2172471865234513
2024-08,Aug 2024,0.024256361140686522,2.425636114068652
2024-09,Sept 2024,0.02135705185853687,2.135705185853687
2024-10,Oct 2024,-0.009068007656306443,-0.9068007656306443
2024-11,Nov 2024,0.05870056801882817,5.870056801882817
2024-12,Dec 2024,-0.02383809436408557,-2.383809436408557
2025-01,Jan 2025,0.027847318318425573,2.7847318318425573
2025-02,Feb 2025,-0.013047637681915525,-1.3047637681915525
2025-03,Mar 2025,-0.056344280446628536,-5.634428044662854
2025-04,Apr 2025,-0.006781463483622074,-0.6781463483622074
2025-05,May 2025,0.06294523524457785,6.294523524457785
2025-06,Jun 2025,0.05085243875141643,5.085243875141643
2025-07,Jul 2025,0.022442682801333103,2.2442682801333103
2025-08,Aug 2025,0.020271783333383198,2.0271783333383198
2025-09,Sept 2025,0.03649995166573006,3.6499951665730057
2025-10,Oct 2025,0.023413709984486886,2.3413709984486886
2025-11,Nov 2025,0.0024508748642451117,0.24508748642451117
2025-12,Dec 2025,0.0006120873971435792,0.06120873971435792
2026-01,Jan 2026,0.014500240957423749,1.450024095742375
2026-02,Feb 2026,-0.0075998603063116565,-0.7599860306311657
2026-03,Mar 2026,-0.04979507787971005,-4.979507787971005
2026-04,Apr 2026,0.1049265711115499,10.49265711115499
2026-05,May 2026,0.052633054896042086,5.263305489604209
